"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"28/04/2026","1.140,25","1.140,25","1.140,25","1.140,25","","0,84%"
"27/04/2026","1.130,75","1.129,75","1.130,75","1.129,75","","-0,79%"
"23/04/2026","1.139,75","1.139,75","1.139,75","1.139,75","","0,31%"
"22/04/2026","1.136,25","1.136,25","1.136,25","1.136,25","","-1,24%"
"21/04/2026","1.150,50","1.150,50","1.150,50","1.150,50","","1,30%"
"20/04/2026","1.135,75","1.135,75","1.135,75","1.135,75","","2,44%"
"16/04/2026","1.108,75","1.108,75","1.108,75","1.108,75","","-1,33%"
"15/04/2026","1.123,75","1.123,75","1.123,75","1.123,75","","0,31%"
"14/04/2026","1.120,25","1.120,25","1.120,25","1.120,25","","1,61%"
"13/04/2026","1.102,50","1.102,50","1.102,50","1.102,50","","-2,54%"
"09/04/2026","1.131,25","1.131,25","1.131,25","1.131,25","","-1,35%"
"08/04/2026","1.146,75","1.146,75","1.146,75","1.146,75","","1,01%"
"07/04/2026","1.135,25","1.135,25","1.135,25","1.135,25","","-2,45%"
"06/04/2026","1.163,75","1.163,75","1.163,75","1.163,75","","-1,10%"
"02/04/2026","1.176,75","1.176,75","1.176,75","1.176,75","","1,40%"
"01/04/2026","1.160,50","1.160,50","1.160,50","1.160,50","","0,02%"
"31/03/2026","1.160,25","1.160,25","1.160,25","1.160,25","","-0,75%"
"30/03/2026","1.169,00","1.169,00","1.169,00","1.169,00","","3,25%"
"26/03/2026","1.132,25","1.132,25","1.132,25","1.132,25","","0,47%"
"25/03/2026","1.127,00","1.127,00","1.127,00","1.127,00","","0,42%"
"24/03/2026","1.122,25","1.122,25","1.122,25","1.122,25","","-3,61%"
"18/03/2026","1.164,25","1.164,25","1.164,25","1.164,25","","1,17%"
"17/03/2026","1.150,75","1.150,75","1.150,75","1.150,75","","-0,71%"
"16/03/2026","1.159,00","1.159,00","1.159,00","1.159,00","","0,52%"
"12/03/2026","1.153,00","1.153,00","1.153,00","1.153,00","","2,35%"
"11/03/2026","1.126,50","1.126,50","1.126,50","1.126,50","","0,63%"
"10/03/2026","1.119,50","1.119,50","1.119,50","1.119,50","","1,98%"
"09/03/2026","1.097,75","1.097,75","1.097,75","1.097,75","","1,86%"
"05/03/2026","1.077,75","1.077,75","1.077,75","1.077,75","","3,80%"
"04/03/2026","1.038,25","1.038,25","1.038,25","1.038,25","","0,65%"
"03/03/2026","1.031,50","1.031,50","1.031,50","1.031,50","","-0,31%"
"02/03/2026","1.034,75","1.034,75","1.034,75","1.034,75","","0,93%"
"26/02/2026","1.025,25","1.025,25","1.025,25","1.025,25","","0,79%"
"25/02/2026","1.017,25","1.017,25","1.017,25","1.017,25","","-1,57%"
"24/02/2026","1.033,50","1.033,50","1.033,50","1.033,50","","0,27%"
"23/02/2026","1.030,75","1.030,75","1.030,75","1.030,75","","-1,01%"
"19/02/2026","1.041,25","1.041,25","1.041,25","1.041,25","","1,19%"
"16/02/2026","1.029,00","1.029,00","1.029,00","1.029,00","","-0,48%"
"12/02/2026","1.034,00","1.034,00","1.034,00","1.034,00","","1,57%"
"11/02/2026","1.018,00","1.018,00","1.018,00","1.018,00","","-0,34%"
"10/02/2026","1.021,50","1.021,50","1.021,50","1.021,50","","-0,68%"
"09/02/2026","1.028,50","1.028,50","1.028,50","1.028,50","","-0,48%"
"05/02/2026","1.033,50","1.033,50","1.033,50","1.033,50","","-1,10%"
"04/02/2026","1.045,00","1.045,00","1.045,00","1.045,00","","-0,85%"
"03/02/2026","1.054,00","1.054,00","1.054,00","1.054,00","","-0,21%"
"29/01/2026","1.056,25","1.056,25","1.056,25","1.056,25","","-1,65%"
"28/01/2026","1.074,00","1.074,00","1.074,00","1.074,00","","0,26%"
"27/01/2026","1.071,25","1.071,25","1.071,25","1.071,25","","1,28%"
"26/01/2026","1.057,75","1.057,75","1.057,75","1.057,75","","2,62%"
"22/01/2026","1.030,75","1.030,75","1.030,75","1.030,75","","0,51%"
"21/01/2026","1.025,50","1.025,50","1.025,50","1.025,50","","1,01%"
"20/01/2026","1.015,25","1.015,25","1.015,25","1.015,25","","1,17%"
"19/01/2026","1.003,50","1.003,50","1.003,50","1.003,50","","1,16%"
"15/01/2026","992,00","992,00","992,00","992,00","","1,56%"
"14/01/2026","976,75","976,75","976,75","976,75","","0,10%"
"13/01/2026","975,75","975,75","975,75","975,75","","-0,15%"
"12/01/2026","977,25","977,25","977,25","977,25","","0,77%"
"08/01/2026","969,75","969,75","969,75","969,75","","-1,07%"
"07/01/2026","980,25","980,25","980,25","980,25","","0,41%"
"06/01/2026","976,25","976,25","976,25","976,25","","0,59%"
"05/01/2026","970,50","970,50","970,50","970,50","","-0,44%"
"02/01/2026","974,75","974,75","974,75","974,75","","-0,97%"
"30/12/2025","984,25","984,25","984,25","984,25","","-1,08%"
"29/12/2025","995,00","995,00","995,00","995,00","","-0,87%"
"26/12/2025","1.003,75","1.003,75","1.003,75","1.003,75","","1,34%"
"23/12/2025","990,50","990,50","990,50","990,50","","0,41%"
"22/12/2025","986,50","986,50","986,50","986,50","","3,33%"
"18/12/2025","954,75","954,75","954,75","954,75","","-1,42%"
"17/12/2025","968,50","968,50","968,50","968,50","","0,21%"
"16/12/2025","966,50","966,50","966,50","966,50","","0,10%"
"15/12/2025","965,50","965,50","965,50","965,50","","-0,77%"
"11/12/2025","973,00","973,00","973,00","973,00","","-0,36%"
"10/12/2025","976,50","976,50","976,50","976,50","","0,54%"
"09/12/2025","971,25","971,25","971,25","971,25","","-0,84%"
"08/12/2025","979,50","979,50","979,50","979,50","","-1,73%"
"04/12/2025","996,75","996,75","996,75","996,75","","0,83%"
"03/12/2025","988,50","988,50","988,50","988,50","","-0,30%"
"02/12/2025","991,50","991,50","991,50","991,50","","-0,03%"
"01/12/2025","991,75","991,75","991,75","991,75","","0,48%"
"27/11/2025","987,00","987,00","987,00","987,00","","0,66%"
"26/11/2025","980,50","980,50","980,50","980,50","","1,42%"
"25/11/2025","966,75","966,75","966,75","966,75","","0,65%"
"24/11/2025","960,50","960,50","960,50","960,50","","-1,71%"
"20/11/2025","977,25","977,25","977,25","977,25","","-1,21%"
"19/11/2025","989,25","989,25","989,25","989,25","","-1,71%"
"18/11/2025","1.006,50","1.006,50","1.006,50","1.006,50","","0,30%"
"17/11/2025","1.003,50","1.003,50","1.003,50","1.003,50","","1,13%"
"13/11/2025","992,25","992,25","992,25","992,25","","4,06%"
"12/11/2025","953,50","953,50","953,50","953,50","","-0,42%"
"11/11/2025","957,50","957,50","957,50","957,50","","-2,45%"
"10/11/2025","981,50","981,50","981,50","981,50","","0,49%"
"06/11/2025","976,75","976,75","976,75","976,75","","-0,71%"
"05/11/2025","983,75","983,75","983,75","983,75","","1,21%"
"04/11/2025","972,00","972,00","972,00","972,00","","-0,77%"
"03/11/2025","979,50","974,00","979,50","974,00","","-2,00%"
"30/10/2025","999,50","999,50","999,50","999,50","","-0,45%"
"29/10/2025","1.004,00","1.004,00","1.004,00","1.004,00","","-0,05%"
"28/10/2025","1.004,50","1.004,50","1.004,50","1.004,50","","-1,52%"
"27/10/2025","1.020,00","1.020,00","1.020,00","1.020,00","","-1,71%"
"23/10/2025","1.037,75","1.037,75","1.037,75","1.037,75","","-0,84%"
"22/10/2025","1.046,50","1.046,50","1.046,50","1.046,50","","0,58%"
"21/10/2025","1.040,50","1.040,50","1.040,50","1.040,50","","-0,88%"
"16/10/2025","1.049,75","1.049,75","1.049,75","1.049,75","","0,17%"
"15/10/2025","1.048,00","1.048,00","1.048,00","1.048,00","","0,05%"
"14/10/2025","1.047,50","1.047,50","1.047,50","1.047,50","","1,87%"
"13/10/2025","1.028,25","1.028,25","1.028,25","1.028,25","","-2,81%"
"09/10/2025","1.058,00","1.058,00","1.058,00","1.058,00","","-0,96%"
"08/10/2025","1.068,25","1.068,25","1.068,25","1.068,25","","0,87%"
"07/10/2025","1.059,00","1.059,00","1.059,00","1.059,00","","1,34%"
"06/10/2025","1.045,00","1.045,00","1.045,00","1.045,00","","-0,05%"
"02/10/2025","1.045,50","1.045,50","1.045,50","1.045,50","","-0,33%"
"01/10/2025","1.049,00","1.049,00","1.049,00","1.049,00","","1,28%"
"30/09/2025","1.035,75","1.035,75","1.035,75","1.035,75","","1,27%"
"29/09/2025","1.022,75","1.022,75","1.022,75","1.022,75","","-0,10%"
"25/09/2025","1.023,75","1.023,75","1.023,75","1.023,75","","-1,16%"
"24/09/2025","1.035,75","1.035,75","1.035,75","1.035,75","","0,66%"
"23/09/2025","1.029,00","1.029,00","1.029,00","1.029,00","","0,37%"
"22/09/2025","1.025,25","1.025,25","1.025,25","1.025,25","","-1,28%"
"18/09/2025","1.038,50","1.038,50","1.038,50","1.038,50","","-0,19%"
"17/09/2025","1.040,50","1.040,50","1.040,50","1.040,50","","0,14%"
"11/09/2025","1.039,00","1.039,00","1.039,00","1.039,00","","-0,02%"
"10/09/2025","1.039,25","1.039,25","1.039,25","1.039,25","","1,00%"
"09/09/2025","1.029,00","1.029,00","1.029,00","1.029,00","","-1,29%"
"08/09/2025","1.042,50","1.042,50","1.042,50","1.042,50","","0,90%"
"03/09/2025","1.033,25","1.033,25","1.033,25","1.033,25","","0,17%"
"02/09/2025","1.031,50","1.031,50","1.031,50","1.031,50","","-0,48%"
"01/09/2025","1.036,50","1.036,50","1.036,50","1.036,50","","1,64%"
"28/08/2025","1.019,75","1.019,75","1.019,75","1.019,75","","-1,69%"
"27/08/2025","1.037,25","1.037,25","1.037,25","1.037,25","","-0,46%"
"26/08/2025","1.042,00","1.042,00","1.042,00","1.042,00","","-0,05%"
"25/08/2025","1.042,50","1.042,50","1.042,50","1.042,50","","-1,02%"
"21/08/2025","1.053,25","1.053,25","1.053,25","1.053,25","","1,30%"
"20/08/2025","1.039,75","1.039,75","1.039,75","1.039,75","","-0,72%"
"19/08/2025","1.047,25","1.047,25","1.047,25","1.047,25","","-0,55%"
"18/08/2025","1.053,00","1.053,00","1.053,00","1.053,00","","0,29%"
"14/08/2025","1.050,00","1.050,00","1.050,00","1.050,00","","1,97%"
"13/08/2025","1.029,75","1.029,75","1.029,75","1.029,75","","-0,68%"
"12/08/2025","1.036,75","1.036,75","1.036,75","1.036,75","","1,02%"
"11/08/2025","1.026,25","1.026,25","1.026,25","1.026,25","","3,32%"
"07/08/2025","993,25","993,25","993,25","993,25","","0,00%"
"06/08/2025","993,25","993,25","993,25","993,25","","-0,43%"
"05/08/2025","997,50","997,50","997,50","997,50","","-0,77%"
