Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,MYR_IDR
3/3/2026,"4.198,00","4.196,00","4.211,00","4.193,00","2,07K","0,10%",
2/3/2026,"4.194,00","4.067,00","4.196,00","4.063,00","27,51K","3,66%",
26/02/2026,"4.046,00","4.019,00","4.056,00","4.008,00","7,88K","1,00%",
25/02/2026,"4.006,00","4.054,00","4.066,00","3.999,00","7,71K","-1,16%",
24/02/2026,"4.053,00","4.049,00","4.086,00","4.034,00","6,48K","-0,02%",
23/02/2026,"4.054,00","4.083,00","4.116,00","4.043,00","7,62K","-1,03%",
19/02/2026,"4.096,00","4.079,00","4.149,00","4.040,00","17,30K","2,12%",
16/02/2026,"4.011,00","4.040,00","4.066,00","4.003,00","4,38K","-0,87%",
12/2/2026,"4.046,00","4.042,00","4.055,00","3.985,00","37,20K","0,07%",
11/2/2026,"4.043,00","4.091,00","4.099,00","4.031,00","24,67K","-0,76%",
10/2/2026,"4.074,00","4.111,00","4.136,00","4.064,00","16,55K","-0,63%",
9/2/2026,"4.100,00","4.176,00","4.179,00","4.091,00","17,02K","-1,51%",
5/2/2026,"4.163,00","4.193,00","4.210,00","4.157,00","13,61K","-1,21%",
4/2/2026,"4.214,00","4.229,00","4.236,00","4.195,00","18,16K","-0,26%",
3/2/2026,"4.225,00","4.239,00","4.256,00","4.193,00","13,99K","-0,07%",
29/01/2026,"4.228,00","4.315,00","4.332,00","4.211,00","17,44K","-1,95%",
28/01/2026,"4.312,00","4.308,00","4.334,00","4.263,00","19,67K","1,08%",
27/01/2026,"4.266,00","4.250,00","4.275,00","4.236,00","13,53K","0,33%",
26/01/2026,"4.252,00","4.215,00","4.271,00","4.204,00","25,09K","1,92%",
22/01/2026,"4.172,00","4.197,00","4.199,00","4.144,00","14,13K","-0,52%",
21/01/2026,"4.194,00","4.159,00","4.213,00","4.154,00","18,22K","0,94%",
20/01/2026,"4.155,00","4.107,00","4.164,00","4.106,00","11,46K","1,44%",
19/01/2026,"4.096,00","4.078,00","4.119,00","4.074,00","10,57K","0,42%",
15/01/2026,"4.079,00","4.003,00","4.095,00","3.987,00","17,89K","2,23%",
14/01/2026,"3.990,00","4.067,00","4.072,00","3.987,00","33,01K","-1,70%",
13/01/2026,"4.059,00","4.088,00","4.134,00","4.056,00","24,22K","-0,49%",
12/1/2026,"4.079,00","4.113,00","4.161,00","4.043,00","24,71K","0,74%",
8/1/2026,"4.049,00","4.066,00","4.107,00","4.042,00","18,35K","-0,25%",
7/1/2026,"4.059,00","4.058,00","4.098,00","4.040,00","24,12K","0,42%",
6/1/2026,"4.042,00","4.002,00","4.055,00","4.001,00","13,48K","1,05%",
5/1/2026,"4.000,00","4.029,00","4.046,00","3.999,00","9,23K","0,03%",
2/1/2026,"3.999,00","4.031,00","4.031,00","3.985,00","4,28K","-1,48%",
30/12/2025,"4.059,00","4.080,00","4.090,00","4.042,00","7,93K","-0,42%",
29/12/2025,"4.076,00","4.048,00","4.108,00","4.044,00","6,28K","-0,22%",
26/12/2025,"4.085,00","4.040,00","4.091,00","4.039,00","5,80K","1,21%",
23/12/2025,"4.036,00","4.031,00","4.050,00","3.998,00","6,91K","0,00%",
22/12/2025,"4.036,00","3.995,00","4.038,00","3.992,00","10,12K","3,20%",
18/12/2025,"3.911,00","3.980,00","3.990,00","3.901,00","10,67K","-1,91%",
