Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,MYR_IDR
2026-03-03,"4.198,00","4.196,00","4.211,00","4.193,00","2,07K","0,10%",4294.66455078125
2026-03-02,"4.194,00","4.067,00","4.196,00","4.063,00","27,51K","3,66%",4316.55224609375
2026-02-26,"4.046,00","4.019,00","4.056,00","4.008,00","7,88K","1,00%",4309.68896484375
2026-02-25,"4.006,00","4.054,00","4.066,00","3.999,00","7,71K","-1,16%",4320.9716796875
2026-02-24,"4.053,00","4.049,00","4.086,00","4.034,00","6,48K","-0,02%",4324.33837890625
2026-02-23,"4.054,00","4.083,00","4.116,00","4.043,00","7,62K","-1,03%",4315.5009765625
2026-02-19,"4.096,00","4.079,00","4.149,00","4.040,00","17,30K","2,12%",4337.1796875
2026-02-16,"4.011,00","4.040,00","4.066,00","4.003,00","4,38K","-0,87%",4306.58984375
2026-02-12,"4.046,00","4.042,00","4.055,00","3.985,00","37,20K","0,07%",4289.91064453125
2026-02-11,"4.043,00","4.091,00","4.099,00","4.031,00","24,67K","-0,76%",4277.8837890625
2026-02-10,"4.074,00","4.111,00","4.136,00","4.064,00","16,55K","-0,63%",4268.9033203125
2026-02-09,"4.100,00","4.176,00","4.179,00","4.091,00","17,02K","-1,51%",4268.27099609375
2026-02-05,"4.163,00","4.193,00","4.210,00","4.157,00","13,61K","-1,21%",4272.634765625
2026-02-04,"4.214,00","4.229,00","4.236,00","4.195,00","18,16K","-0,26%",4261.66552734375
2026-02-03,"4.225,00","4.239,00","4.256,00","4.193,00","13,99K","-0,07%",4251.9345703125
2026-01-29,"4.228,00","4.315,00","4.332,00","4.211,00","17,44K","-1,95%",4270.22216796875
2026-01-28,"4.312,00","4.308,00","4.334,00","4.263,00","19,67K","1,08%",4219.66357421875
2026-01-27,"4.266,00","4.250,00","4.275,00","4.236,00","13,53K","0,33%",4219.896484375
2026-01-26,"4.252,00","4.215,00","4.271,00","4.204,00","25,09K","1,92%",4187.24267578125
2026-01-22,"4.172,00","4.197,00","4.199,00","4.144,00","14,13K","-0,52%",4175.70751953125
2026-01-21,"4.194,00","4.159,00","4.213,00","4.154,00","18,22K","0,94%",4183.9931640625
2026-01-20,"4.155,00","4.107,00","4.164,00","4.106,00","11,46K","1,44%",4177.31201171875
2026-01-19,"4.096,00","4.078,00","4.119,00","4.074,00","10,57K","0,42%",4159.359375
2026-01-15,"4.079,00","4.003,00","4.095,00","3.987,00","17,89K","2,23%",4162.54931640625
2026-01-14,"3.990,00","4.067,00","4.072,00","3.987,00","33,01K","-1,70%",4152.55712890625
2026-01-13,"4.059,00","4.088,00","4.134,00","4.056,00","24,22K","-0,49%",4152.123046875
2026-01-12,"4.079,00","4.113,00","4.161,00","4.043,00","24,71K","0,74%",4110.58984375
2026-01-08,"4.049,00","4.066,00","4.107,00","4.042,00","18,35K","-0,25%",4093.5859375
2026-01-07,"4.059,00","4.058,00","4.098,00","4.040,00","24,12K","0,42%",4137.9140625
2026-01-06,"4.042,00","4.002,00","4.055,00","4.001,00","13,48K","1,05%",4110.01953125
2026-01-05,"4.000,00","4.029,00","4.046,00","3.999,00","9,23K","0,03%",4115.19482421875
2026-01-02,"3.999,00","4.031,00","4.031,00","3.985,00","4,28K","-1,48%",4107.44189453125
2025-12-30,"4.059,00","4.080,00","4.090,00","4.042,00","7,93K","-0,42%",4130.5419921875
2025-12-29,"4.076,00","4.048,00","4.108,00","4.044,00","6,28K","-0,22%",4135.13623046875
2025-12-26,"4.085,00","4.040,00","4.091,00","4.039,00","5,80K","1,21%",4141.65625
2025-12-23,"4.036,00","4.031,00","4.050,00","3.998,00","6,91K","0,00%",4110.3046875
2025-12-22,"4.036,00","3.995,00","4.038,00","3.992,00","10,12K","3,20%",4090.875732421875
2025-12-18,"3.911,00","3.980,00","3.990,00","3.901,00","10,67K","-1,91%",4077.04541015625
2025-12-17,"3.987,00","3.964,00","4.022,00","3.956,00","10,45K","0,43%",4071.944091796875
2025-12-16,"3.970,00","3.970,00","3.980,00","3.933,00","9,15K","0,00%",4067.3916015625
2025-12-15,"3.970,00","4.013,00","4.017,00","3.960,00","9,91K","-1,44%",4058.038330078125
2025-12-11,"4.028,00","4.074,00","4.086,00","4.024,00","23,81K","-1,13%",4040.5537109375
2025-12-10,"4.074,00","4.083,00","4.139,00","4.069,00","26,69K","-0,20%",4048.10498046875
2025-12-09,"4.082,00","4.113,00","4.139,00","4.032,00","16,33K","-0,99%",4056.892822265625
2025-12-08,"4.123,00","4.112,00","4.131,00","4.072,00","7,95K","-1,08%",4057.650146484375
2025-12-04,"4.168,00","4.118,00","4.171,00","4.114,00","5,59K","1,19%",4025.227294921875
2025-12-03,"4.119,00","4.165,00","4.178,00","4.108,00","8,65K","-1,10%",4019.11669921875
2025-12-02,"4.165,00","4.175,00","4.207,00","4.155,00","10,76K","-0,19%",4020.576171875
2025-12-01,"4.173,00","4.105,00","4.177,00","4.076,00","9,16K","1,24%",4027.102294921875
2025-11-27,"4.122,00","4.106,00","4.138,00","4.099,00","3,83K","0,46%",4020.067626953125
2025-11-26,"4.103,00","4.034,00","4.104,00","4.033,00","6,00K","1,61%",4022.977294921875
2025-11-25,"4.038,00","3.994,00","4.060,00","3.983,00","13,08K","0,87%",4019.560546875
2025-11-24,"4.003,00","4.063,00","4.075,00","3.991,00","23,68K","-1,84%",3992.58544921875
2025-11-20,"4.078,00","4.165,00","4.173,00","4.070,00","21,40K","-2,21%",4023.85546875
2025-11-19,"4.170,00","4.227,00","4.236,00","4.151,00","11,16K","-1,65%",4017.243896484375
2025-11-18,"4.240,00","4.214,00","4.285,00","4.213,00","13,05K","0,64%",4028.155517578125
2025-11-17,"4.213,00","4.169,00","4.224,00","4.149,00","14,51K","1,64%",4036.1767578125
2025-11-13,"4.145,00","4.157,00","4.162,00","4.114,00","24,50K","-0,19%",4045.21826171875
2025-11-12,"4.153,00","4.151,00","4.178,00","4.107,00","23,02K","0,00%",4033.5830078125
2025-11-11,"4.153,00","4.165,00","4.185,00","4.139,00","8,42K","-0,29%",4012.019287109375
2025-11-10,"4.165,00","4.144,00","4.206,00","4.138,00","13,88K","0,68%",3987.787353515625
2025-11-06,"4.137,00","4.186,00","4.190,00","4.118,00","9,59K","-1,03%",3976.85791015625
2025-11-05,"4.180,00","4.130,00","4.185,00","4.116,00","8,80K","0,94%",3980.226318359375
2025-11-04,"4.141,00","4.158,00","4.180,00","4.134,00","9,31K","-0,72%",3968.567626953125
2025-11-03,"4.171,00","4.132,00","4.194,00","4.126,00","12,38K","-1,21%",3971.3466796875
2025-10-30,"4.222,00","4.287,00","4.287,00","4.212,00","11,66K","-1,24%",3955.1044921875
2025-10-29,"4.275,00","4.263,00","4.303,00","4.258,00","10,88K","0,12%",3949.255615234375
2025-10-28,"4.270,00","4.324,00","4.324,00","4.250,00","18,77K","-1,39%",3838.38623046875
2025-10-27,"4.330,00","4.394,00","4.397,00","4.316,00","15,48K","-2,37%",3929.4033203125
2025-10-23,"4.435,00","4.477,00","4.480,00","4.427,00","8,28K","-1,03%",3923.404296875
2025-10-22,"4.481,00","4.473,00","4.487,00","4.423,00","13,13K","0,29%",3925.041259765625
2025-10-21,"4.468,00","4.514,00","4.514,00","4.438,00","16,35K","-1,30%",3914.33984375
2025-10-16,"4.527,00","4.535,00","4.584,00","4.504,00","8,92K","-0,13%",3916.587890625
2025-10-15,"4.533,00","4.520,00","4.542,00","4.505,00","11,22K","0,47%",3920.55322265625
2025-10-14,"4.512,00","4.501,00","4.531,00","4.468,00","31,44K","0,36%",3914.833251953125
2025-10-13,"4.496,00","4.519,00","4.554,00","4.490,00","24,15K","-1,51%",3928.520751953125
2025-10-09,"4.565,00","4.607,00","4.632,00","4.545,00","25,55K","-1,04%",3926.945068359375
2025-10-08,"4.613,00","4.568,00","4.629,00","4.561,00","25,92K","1,10%",3935.4609375
2025-10-07,"4.563,00","4.495,00","4.588,00","4.488,00","23,54K","1,67%",3937.603759765625
2025-10-06,"4.488,00","4.446,00","4.497,00","4.445,00","7,63K","0,70%",3934.885986328125
2025-10-02,"4.457,00","4.474,00","4.502,00","4.448,00","9,16K","-0,09%",3955.793212890625
2025-10-01,"4.461,00","4.410,00","4.482,00","4.407,00","11,62K","1,29%",3964.1201171875
2025-09-30,"4.404,00","4.364,00","4.426,00","4.362,00","13,92K","0,64%",3944.95849609375
2025-09-29,"4.376,00","4.413,00","4.424,00","4.362,00","16,79K","-1,00%",3961.38818359375
2025-09-25,"4.420,00","4.454,00","4.480,00","4.417,00","10,99K","-0,87%",3967.91455078125
2025-09-24,"4.459,00","4.412,00","4.468,00","4.412,00","14,12K","1,43%",3962.367431640625
2025-09-23,"4.396,00","4.363,00","4.405,00","4.337,00","9,55K","0,83%",3945.74658203125
2025-09-22,"4.360,00","4.437,00","4.440,00","4.290,00","28,00K","-1,85%",3954.599365234375
